student_id,study_hours,attendance,assignments,previous_marks,participation,result
S0001,6.8,51,4,66,4,Pass
S0002,2.3,56,10,46,10,Pass
S0003,4.8,51,1,62,4,Fail
S0004,5.5,51,8,60,9,Pass
S0005,4.8,78,9,70,1,Pass
S0006,7.8,60,6,78,5,Pass
S0007,2.4,98,5,48,2,Fail
S0008,4.4,72,5,68,1,Pass
S0009,7.6,84,1,83,2,Pass
S0010,6.0,90,9,81,10,Pass
S0011,2.7,54,0,64,5,Fail
S0012,9.9,64,1,83,5,Pass
S0013,5.1,73,2,82,6,Pass
S0014,2.9,67,10,44,10,Pass
S0015,6.7,84,3,55,8,Pass
S0016,4.4,90,8,63,6,Pass
S0017,8.6,99,0,64,1,Pass
S0018,8.2,75,4,43,4,Pass
S0019,9.2,86,5,62,8,Pass
S0020,4.6,91,7,53,5,Pass
S0021,2.3,97,8,68,10,Pass
S0022,4.9,87,6,81,4,Pass
S0023,10.0,58,8,98,2,Pass
S0024,7.8,57,2,55,7,Pass
S0025,6.4,74,6,94,9,Pass
S0026,3.3,85,0,49,9,Pass
S0027,7.8,99,10,78,2,Pass
S0028,3.6,60,7,35,5,Fail
S0029,9.7,98,2,99,2,Pass
S0030,8.8,69,10,99,10,Pass
S0031,2.8,73,2,35,10,Fail
S0032,3.9,51,1,81,5,Fail
S0033,3.2,65,9,45,2,Fail
S0034,7.6,54,8,51,3,Pass
S0035,6.9,85,2,68,9,Pass
S0036,8.9,77,3,60,5,Pass
S0037,4.6,92,10,82,8,Pass
S0038,9.1,78,1,66,4,Pass
S0039,1.6,51,9,64,10,Pass
S0040,3.0,54,10,42,4,Pass
S0041,1.6,52,5,44,9,Fail
S0042,3.1,92,7,62,9,Pass
S0043,2.2,86,9,95,4,Pass
S0044,8.1,76,3,47,2,Pass
S0045,6.9,72,6,87,8,Pass
S0046,8.8,53,10,47,1,Pass
S0047,4.6,71,1,66,4,Fail
S0048,2.7,78,2,89,3,Pass
S0049,3.5,65,1,91,9,Pass
S0050,1.9,91,8,36,2,Fail
S0051,9.3,65,2,87,8,Pass
S0052,5.3,75,0,56,7,Pass
S0053,1.0,74,4,93,5,Pass
S0054,4.8,96,8,97,3,Pass
S0055,2.7,63,0,42,6,Fail
S0056,1.5,87,7,99,9,Pass
S0057,2.4,82,1,58,2,Fail
S0058,6.4,93,3,86,2,Pass
S0059,9.5,86,3,40,10,Pass
S0060,1.7,92,9,75,5,Pass
S0061,2.8,95,5,65,5,Pass
S0062,4.6,92,10,73,8,Pass
S0063,3.8,98,1,36,8,Pass
S0064,6.6,86,1,44,9,Pass
S0065,2.9,66,2,79,2,Fail
S0066,8.9,73,4,55,8,Pass
S0067,8.5,95,4,36,9,Pass
S0068,3.7,92,1,52,5,Fail
S0069,2.0,56,8,54,5,Fail
S0070,3.5,63,5,61,5,Pass
S0071,5.5,66,0,46,7,Fail
S0072,8.5,52,0,77,3,Pass
S0073,6.7,66,2,91,9,Pass
S0074,7.4,85,0,49,2,Fail
S0075,9.5,94,2,39,6,Pass
S0076,6.2,59,6,51,1,Pass
S0077,3.8,100,0,80,4,Pass
S0078,7.1,92,1,80,9,Pass
S0079,9.0,76,9,54,4,Pass
S0080,8.8,61,6,38,3,Pass
S0081,7.6,71,6,66,5,Pass
S0082,2.4,94,1,83,1,Fail
S0083,8.7,64,3,93,6,Pass
S0084,3.7,100,3,63,1,Pass
S0085,6.9,75,5,70,2,Pass
S0086,9.7,67,5,100,7,Pass
S0087,7.1,84,5,38,2,Pass
S0088,8.9,66,2,68,1,Pass
S0089,2.0,77,5,75,7,Pass
S0090,6.5,82,1,84,10,Pass
S0091,2.7,52,6,35,9,Fail
S0092,9.3,84,10,60,6,Pass
S0093,4.9,92,5,75,2,Pass
S0094,7.5,69,8,74,7,Pass
S0095,3.9,94,4,51,4,Pass
S0096,4.8,74,10,57,10,Pass
S0097,6.1,75,8,35,5,Pass
S0098,3.6,77,9,76,8,Pass
S0099,5.0,93,3,100,8,Pass
S0100,8.1,100,2,45,5,Pass
S0101,5.6,90,9,77,2,Pass
S0102,8.4,98,3,74,4,Pass
S0103,8.3,59,0,40,4,Fail
S0104,9.9,89,1,93,7,Pass
S0105,9.0,86,3,84,8,Pass
S0106,4.6,59,10,35,2,Fail
S0107,8.0,64,2,94,1,Pass
S0108,6.0,57,7,52,8,Pass
S0109,7.0,85,9,75,8,Pass
S0110,6.5,96,8,89,9,Pass
S0111,5.0,60,7,92,5,Pass
S0112,7.8,90,4,97,4,Pass
S0113,3.5,54,4,65,5,Fail
S0114,4.0,84,1,52,3,Fail
S0115,3.1,94,2,62,2,Fail
S0116,4.7,71,8,94,7,Pass
S0117,1.6,76,6,37,10,Pass
S0118,4.4,50,5,73,7,Pass
S0119,8.7,76,8,63,8,Pass
S0120,3.0,77,7,38,7,Pass
S0121,4.0,93,6,56,8,Pass
S0122,9.3,89,8,38,7,Pass
S0123,6.3,92,0,45,7,Pass
S0124,2.2,79,2,41,5,Fail
S0125,4.4,63,7,76,6,Pass
S0126,7.9,74,4,88,5,Pass
S0127,8.5,80,0,41,6,Pass
S0128,3.0,54,10,40,1,Fail
S0129,9.5,62,0,54,4,Pass
S0130,2.1,92,1,62,8,Pass
S0131,7.3,99,5,56,10,Pass
S0132,6.5,97,1,55,5,Pass
S0133,2.0,51,4,83,7,Pass
S0134,9.5,62,1,66,2,Pass
S0135,7.3,69,10,50,10,Pass
S0136,8.0,72,8,89,6,Pass
S0137,1.6,91,5,36,7,Fail
S0138,8.4,56,6,81,8,Pass
S0139,7.4,77,2,69,10,Pass
S0140,8.3,84,7,94,7,Pass
S0141,8.4,87,4,76,4,Pass
S0142,8.5,55,4,92,4,Pass
S0143,7.8,86,9,83,6,Pass
S0144,1.3,70,2,97,4,Pass
S0145,4.2,66,5,70,10,Pass
S0146,7.3,67,8,36,9,Pass
S0147,9.5,55,3,87,8,Pass
S0148,6.0,65,7,97,8,Pass
S0149,8.1,55,4,63,7,Pass
S0150,7.2,69,10,82,8,Pass
S0151,6.0,72,6,77,6,Pass
S0152,7.3,67,4,67,4,Pass
S0153,2.1,62,5,50,9,Pass
S0154,9.6,94,2,59,4,Pass
S0155,7.6,67,9,71,2,Pass
S0156,8.5,68,3,81,3,Pass
S0157,3.7,95,8,51,5,Pass
S0158,1.4,53,8,72,3,Fail
S0159,6.7,98,7,48,1,Pass
S0160,6.2,80,7,91,6,Pass
S0161,2.7,53,4,96,2,Pass
S0162,8.4,75,7,44,10,Pass
S0163,6.7,53,2,54,10,Pass
S0164,9.5,55,3,50,9,Pass
S0165,7.9,88,9,63,9,Pass
S0166,4.4,78,4,89,5,Pass
S0167,6.1,53,9,47,4,Pass
S0168,6.6,66,10,45,3,Pass
S0169,3.2,85,1,55,1,Fail
S0170,4.7,94,9,95,5,Pass
S0171,1.3,68,4,93,2,Pass
S0172,7.2,66,10,60,7,Pass
S0173,2.0,64,10,54,5,Pass
S0174,8.4,54,0,56,5,Pass
S0175,6.4,86,4,91,2,Pass
S0176,5.2,69,6,69,9,Pass
S0177,5.9,78,1,40,7,Pass
S0178,7.6,88,4,38,2,Pass
S0179,3.1,93,9,37,5,Pass
S0180,6.2,98,2,95,9,Pass
S0181,6.9,67,2,90,8,Pass
S0182,9.7,80,5,87,6,Pass
S0183,3.9,56,2,77,7,Pass
S0184,7.2,68,10,86,9,Pass
S0185,1.3,55,5,67,6,Fail
S0186,2.0,99,6,100,1,Pass
S0187,6.9,84,7,87,1,Pass
S0188,2.7,73,9,98,8,Pass
S0189,7.8,63,4,51,5,Pass
S0190,4.9,94,7,50,1,Pass
S0191,9.8,88,3,55,5,Pass
S0192,6.0,85,6,46,4,Pass
S0193,9.9,57,7,50,3,Pass
S0194,5.5,95,4,100,5,Pass
S0195,4.7,80,7,66,8,Pass
S0196,6.0,74,3,100,3,Pass
S0197,8.8,67,6,78,9,Pass
S0198,3.4,50,4,73,10,Pass
S0199,6.2,92,7,54,8,Pass
S0200,5.8,72,5,83,8,Pass
S0201,9.4,62,3,84,4,Pass
S0202,8.7,76,0,75,8,Pass
S0203,7.3,74,6,54,8,Pass
S0204,9.7,58,8,77,2,Pass
S0205,8.9,78,1,93,1,Pass
S0206,7.5,76,10,54,2,Pass
S0207,5.2,66,5,85,2,Pass
S0208,8.7,93,8,83,6,Pass
S0209,6.6,98,7,39,10,Pass
S0210,1.6,90,10,71,4,Pass
S0211,7.7,77,1,47,8,Pass
S0212,2.5,69,0,40,6,Fail
S0213,8.2,68,5,82,7,Pass
S0214,2.3,83,6,58,3,Pass
S0215,2.6,89,6,65,8,Pass
S0216,9.2,59,3,94,5,Pass
S0217,5.1,92,0,94,5,Pass
S0218,7.1,60,1,91,6,Pass
S0219,9.9,69,10,89,5,Pass
S0220,5.1,69,3,84,8,Pass
S0221,2.0,74,9,80,10,Pass
S0222,3.7,94,4,37,7,Pass
S0223,3.5,86,10,41,10,Pass
S0224,7.7,68,3,80,4,Pass
S0225,6.7,89,4,52,2,Pass
S0226,9.1,91,0,74,8,Pass
S0227,1.3,73,2,46,5,Fail
S0228,3.9,76,2,60,3,Fail
S0229,8.1,73,8,99,5,Pass
S0230,8.5,66,7,72,6,Pass
S0231,8.2,79,1,53,4,Pass
S0232,8.7,96,10,85,9,Pass
S0233,4.3,100,6,36,5,Pass
S0234,5.8,79,5,68,10,Pass
S0235,4.4,90,5,48,4,Pass
S0236,5.2,89,8,76,10,Pass
S0237,3.0,54,10,94,5,Pass
S0238,6.8,57,2,40,1,Fail
S0239,3.7,81,1,47,4,Fail
S0240,9.0,58,6,93,6,Pass
S0241,7.0,97,8,88,10,Pass
S0242,7.7,59,6,47,8,Pass
S0243,6.5,67,0,82,4,Pass
S0244,5.0,65,5,47,6,Pass
S0245,5.9,91,5,42,7,Pass
S0246,3.5,57,7,46,4,Fail
S0247,6.8,88,0,41,6,Pass
S0248,3.2,58,9,61,2,Pass
S0249,8.5,85,3,62,4,Pass
S0250,4.0,59,9,35,5,Pass
S0251,8.7,59,2,67,3,Pass
S0252,2.0,51,2,36,6,Fail
S0253,8.1,65,9,76,1,Pass
S0254,2.6,53,2,88,9,Pass
S0255,2.0,54,7,92,6,Pass
S0256,5.6,56,7,99,4,Pass
S0257,9.5,52,10,73,8,Pass
S0258,6.8,51,0,96,7,Pass
S0259,4.8,56,7,91,2,Pass
S0260,9.1,70,9,53,2,Pass
S0261,2.1,89,10,76,7,Pass
S0262,10.0,83,4,93,9,Pass
S0263,6.4,56,1,62,7,Pass
S0264,5.1,64,6,78,8,Pass
S0265,4.6,96,1,75,7,Pass
S0266,3.8,66,5,54,8,Pass
S0267,1.6,55,1,90,2,Fail
S0268,7.7,73,2,42,10,Pass
S0269,9.6,85,5,50,7,Pass
S0270,4.2,92,6,41,5,Pass
S0271,6.4,72,1,99,4,Pass
S0272,2.4,80,3,48,6,Fail
S0273,8.6,73,1,70,10,Pass
S0274,3.0,77,8,38,10,Pass
S0275,9.4,94,4,38,3,Pass
S0276,3.5,98,4,78,6,Pass
S0277,1.1,59,9,86,2,Pass
S0278,2.3,90,0,46,9,Fail
S0279,2.9,76,7,78,3,Pass
S0280,4.3,96,5,45,1,Fail
S0281,2.4,98,9,41,2,Pass
S0282,3.4,92,6,97,10,Pass
S0283,5.0,67,3,100,2,Pass
S0284,4.1,57,4,97,9,Pass
S0285,7.0,52,3,85,10,Pass
S0286,1.5,63,4,62,3,Fail
S0287,7.9,68,5,50,1,Pass
S0288,5.5,77,2,51,7,Pass
S0289,5.8,64,8,80,2,Pass
S0290,4.6,97,0,90,1,Pass
S0291,5.1,54,5,89,10,Pass
S0292,4.6,90,6,72,2,Pass
S0293,4.6,70,2,93,6,Pass
S0294,1.8,56,3,90,10,Pass
S0295,4.6,55,6,74,6,Pass
S0296,3.0,99,2,44,9,Pass
S0297,6.7,83,8,59,6,Pass
S0298,4.2,91,2,65,2,Pass
S0299,2.3,62,2,54,2,Fail
S0300,2.6,99,10,98,8,Pass
S0301,7.8,98,9,92,10,Pass
S0302,6.8,89,5,75,3,Pass
S0303,5.0,80,7,73,5,Pass
S0304,6.3,72,8,44,5,Pass
S0305,5.2,52,0,82,5,Pass
S0306,1.7,55,9,99,7,Pass
S0307,5.2,85,0,92,10,Pass
S0308,6.9,70,9,95,9,Pass
S0309,2.4,53,7,48,6,Fail
S0310,9.8,55,8,57,1,Pass
S0311,3.2,78,7,55,6,Pass
S0312,4.4,68,6,87,6,Pass
S0313,7.1,53,10,77,2,Pass
S0314,4.0,85,10,84,5,Pass
S0315,3.3,92,9,54,6,Pass
S0316,1.7,92,2,79,5,Pass
S0317,9.7,94,10,85,3,Pass
S0318,6.4,55,4,83,6,Pass
S0319,8.3,92,10,46,7,Pass
S0320,5.6,51,5,74,3,Pass
S0321,9.6,71,7,59,4,Pass
S0322,10.0,59,1,72,2,Pass
S0323,5.6,84,8,39,6,Pass
S0324,8.9,89,2,83,3,Pass
S0325,2.5,94,9,56,8,Pass
S0326,1.4,73,10,65,8,Pass
S0327,6.5,98,7,64,9,Pass
S0328,3.2,100,7,59,6,Pass
S0329,7.1,86,7,94,5,Pass
S0330,8.0,82,8,88,3,Pass
S0331,8.4,88,2,67,1,Pass
S0332,6.8,73,8,48,9,Pass
S0333,8.7,68,1,55,5,Pass
S0334,5.0,82,2,90,2,Pass
S0335,9.5,64,7,79,1,Pass
S0336,4.7,75,8,82,4,Pass
S0337,4.5,55,5,63,1,Fail
S0338,3.9,56,10,77,3,Pass
S0339,2.2,68,7,52,8,Pass
S0340,5.0,50,1,37,5,Fail
S0341,2.9,59,8,89,2,Pass
S0342,8.0,65,4,50,1,Pass
S0343,3.1,90,9,93,2,Pass
S0344,2.0,81,9,37,9,Pass
S0345,6.2,95,2,72,7,Pass
S0346,1.0,72,3,88,3,Fail
S0347,7.0,55,8,81,2,Pass
S0348,9.6,84,8,99,9,Pass
S0349,1.2,80,0,84,6,Pass
S0350,3.3,51,5,43,6,Fail
S0351,3.2,92,10,48,10,Pass
S0352,7.6,71,2,40,6,Pass
S0353,5.9,91,2,94,8,Pass
S0354,6.7,58,1,93,1,Pass
S0355,3.6,52,3,40,6,Fail
S0356,9.4,82,6,95,5,Pass
S0357,1.3,91,3,71,6,Pass
S0358,8.8,53,10,77,5,Pass
S0359,2.1,73,6,86,8,Pass
S0360,9.1,74,5,58,8,Pass
S0361,7.2,73,8,69,2,Pass
S0362,7.5,55,6,58,9,Pass
S0363,3.6,56,1,76,5,Fail
S0364,3.8,88,6,56,8,Pass
S0365,4.2,52,5,90,5,Pass
S0366,6.8,100,0,44,7,Pass
S0367,4.3,97,10,55,1,Pass
S0368,2.3,88,10,91,1,Pass
S0369,2.1,65,10,81,6,Pass
S0370,4.4,86,0,54,8,Pass
S0371,9.5,73,7,44,10,Pass
S0372,2.2,73,6,75,5,Pass
S0373,3.2,57,0,58,8,Fail
S0374,5.7,85,1,68,5,Pass
S0375,7.3,63,9,71,8,Pass
S0376,2.8,58,1,92,3,Fail
S0377,9.1,78,1,75,6,Pass
S0378,7.4,85,8,72,5,Pass
S0379,8.7,95,10,57,6,Pass
S0380,5.6,57,3,52,4,Fail
S0381,8.1,51,5,82,8,Pass
S0382,8.2,85,2,46,2,Pass
S0383,3.8,95,7,87,7,Pass
S0384,8.4,54,2,75,2,Pass
S0385,5.0,93,8,79,3,Pass
S0386,8.9,99,8,58,3,Pass
S0387,4.9,53,1,54,5,Fail
S0388,2.5,70,3,79,9,Pass
S0389,9.1,55,4,60,9,Pass
S0390,3.5,90,4,46,9,Pass
S0391,6.8,87,9,54,3,Pass
S0392,6.9,96,9,78,10,Pass
S0393,1.4,51,1,40,10,Fail
S0394,3.4,63,9,88,10,Pass
S0395,6.8,81,10,72,5,Pass
S0396,5.3,93,6,73,8,Pass
S0397,1.7,53,2,91,7,Pass
S0398,5.4,63,5,53,6,Pass
S0399,8.8,70,5,86,3,Pass
S0400,7.8,82,8,48,6,Pass
S0401,3.2,57,4,92,4,Pass
S0402,2.3,53,4,84,10,Pass
S0403,4.8,60,5,75,4,Pass
S0404,7.9,81,8,94,8,Pass
S0405,8.9,81,0,46,7,Pass
S0406,5.5,65,3,80,1,Pass
S0407,1.5,81,9,95,5,Pass
S0408,5.8,56,6,52,5,Pass
S0409,7.5,98,6,81,1,Pass
S0410,4.6,86,8,59,6,Pass
S0411,6.0,54,6,99,8,Pass
S0412,7.9,67,9,50,3,Pass
S0413,9.8,75,5,78,9,Pass
S0414,9.5,98,2,60,10,Pass
S0415,5.6,82,0,40,1,Fail
S0416,2.2,71,7,93,3,Pass
S0417,6.5,82,2,76,10,Pass
S0418,3.9,75,9,73,10,Pass
S0419,4.0,82,8,97,10,Pass
S0420,3.7,51,5,77,2,Fail
S0421,9.8,87,4,38,10,Pass
S0422,5.3,91,9,64,1,Pass
S0423,6.3,60,8,83,3,Pass
S0424,8.4,65,0,49,4,Pass
S0425,1.2,70,6,54,7,Pass
S0426,7.2,76,8,95,1,Pass
S0427,7.4,83,3,76,8,Pass
S0428,5.7,70,2,93,9,Pass
S0429,4.1,72,10,68,10,Pass
S0430,5.4,65,4,73,4,Pass
S0431,9.5,69,4,61,8,Pass
S0432,3.9,72,8,70,5,Pass
S0433,2.1,93,8,83,7,Pass
S0434,8.4,99,2,72,1,Pass
S0435,3.6,95,1,79,8,Pass
S0436,6.9,97,7,62,4,Pass
S0437,8.5,67,8,69,3,Pass
S0438,2.0,97,9,65,4,Pass
S0439,1.5,83,3,64,1,Fail
S0440,1.9,71,7,47,3,Fail
S0441,1.0,85,2,87,8,Pass
S0442,5.3,62,4,76,5,Pass
S0443,6.8,99,1,64,9,Pass
S0444,7.6,52,2,88,3,Pass
S0445,9.4,52,6,98,3,Pass
S0446,9.4,68,0,36,5,Pass
S0447,6.1,56,5,71,8,Pass
S0448,9.9,84,8,98,3,Pass
S0449,8.7,79,4,59,2,Pass
S0450,4.0,96,7,67,3,Pass
S0451,1.1,71,4,59,3,Fail
S0452,6.5,90,6,89,9,Pass
S0453,4.0,75,10,47,3,Pass
S0454,9.8,80,5,66,1,Pass
S0455,3.3,65,7,69,6,Pass
S0456,3.7,96,9,36,5,Pass
S0457,6.9,94,3,42,2,Pass
S0458,5.2,60,6,99,5,Pass
S0459,7.2,90,4,82,10,Pass
S0460,3.0,58,7,54,8,Pass
S0461,7.7,88,5,88,9,Pass
S0462,9.2,98,8,62,4,Pass
S0463,7.1,88,1,92,9,Pass
S0464,7.3,54,9,49,1,Pass
S0465,8.5,82,3,54,3,Pass
S0466,4.0,83,7,49,4,Pass
S0467,7.5,81,1,100,8,Pass
S0468,8.3,79,2,100,7,Pass
S0469,5.1,53,8,94,5,Pass
S0470,7.5,75,4,35,4,Pass
S0471,6.2,52,6,79,2,Pass
S0472,5.9,53,1,95,1,Pass
S0473,3.6,61,2,88,6,Pass
S0474,9.9,74,7,83,7,Pass
S0475,1.7,92,8,52,6,Pass
S0476,2.1,84,6,51,4,Pass
S0477,8.5,98,0,73,8,Pass
S0478,7.1,84,6,83,4,Pass
S0479,3.2,72,2,70,4,Fail
S0480,9.4,96,1,39,7,Pass
S0481,6.5,51,3,61,2,Fail
S0482,1.9,52,7,41,4,Fail
S0483,7.7,75,7,64,9,Pass
S0484,3.0,99,0,52,9,Pass
S0485,9.9,64,9,75,10,Pass
S0486,6.4,93,5,65,5,Pass
S0487,8.9,92,8,63,7,Pass
S0488,3.7,53,8,57,7,Pass
S0489,6.0,53,5,83,9,Pass
S0490,3.9,76,6,54,5,Pass
S0491,4.4,98,8,95,4,Pass
S0492,8.6,69,2,94,1,Pass
S0493,6.1,76,8,52,7,Pass
S0494,3.2,63,5,45,8,Pass
S0495,8.6,55,8,59,1,Pass
S0496,3.4,93,9,40,2,Pass
S0497,2.7,98,9,62,8,Pass
S0498,2.9,71,4,36,4,Fail
S0499,9.4,97,1,96,4,Pass
S0500,7.3,95,3,85,4,Pass
